,Drug_application_number,Application_number,Drug,Therapeutic_Area,Biomarker,Labeling_Sections,Date,Indications and usage,Adverse reactions,Drug_name
42,NDA208558,208558,Olaparib (1),Oncology,BRCA,"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 5 WARNINGS AND PRECAUTIONS, 6 ADVERSE REACTIONS, 14 CLINICAL STUDIES",12/07//2020,"1.1 First-Line Maintenance Treatment of BRCA-mutated Advanced Ovarian Cancer  Lynparza is indicated for the maintenance treatment of adult patients with deleterious or suspected deleterious germline or somatic BRCA-mutated (gBRCAm or sBRCAm) advanced epithelial ovarian, fallopian tube or primary peritoneal cancer who are in complete or partial response to first-line platinumbased chemotherapy. Select patients with gBRCAm advanced epithelial ovarian, fallopian tube or primary peritoneal cancer for therapy based on an FDA-approved companion diagnostic for Lynparza [see Dosage and Administration (2.1)]. 1.2 First-line Maintenance Treatment of HRD-positive Advanced Ovarian Cancer in Combination with Bevacizumab  Lynparza is indicated in combination with bevacizumab for the maintenance treatment of adult patients with advanced epithelial ovarian, fallopian tube or primary peritoneal cancer who are in complete or partial response to first-line platinum-based chemotherapy and whose cancer is associated with homologous recombination deficiency (HRD)-positive status defined by either:  Ł a deleterious or suspected deleterious BRCA mutation, and/or  Ł genomic instability.  Select patients for therapy based on an FDA-approved companion diagnostic for Lynparza [see Dosage and Administration (2.1)]. 1.4 Advanced Germline BRCA-mutated Ovarian Cancer After 3 or More Lines of Chemotherapy Lynparza is indicated for the treatment of adult patients with deleterious or suspected deleterious germline BRCA-mutated (gBRCAm) advanced ovarian cancer who have been treated with three or more prior lines of chemotherapy. Select patients for therapy based on an FDA-approved companion diagnostic for Lynparza [see Dosage and Administration (2.1)]. 1.5 Germline BRCA-mutated HER2-negative Metastatic Breast Cancer  Lynparza is indicated for the treatment of adult patients with deleterious or suspected deleterious gBRCAm, HER2-negative metastatic breast cancer, who have been treated with chemotherapy in the neoadjuvant, adjuvant, or metastatic setting. Patients with hormone receptor (HR)-positive breast cancer should have been treated with a prior endocrine therapy or be considered inappropriate for endocrine therapy. Select patients for therapy based on an FDA-approved companion diagnostic for Lynparza [see Dosage and Administration (2.1)]. 1.6 First-Line Maintenance Treatment of Germline BRCA-mutated Metastatic Pancreatic Adenocarcinoma  Lynparza is indicated for the maintenance treatment of adult patients with deleterious or suspected deleterious gBRCAm metastatic pancreatic adenocarcinoma whose disease has not progressed on at least 16 weeks of a first-line platinum-based chemotherapy regimen. Select patients for therapy based on an FDA-approved companion diagnostic for Lynparza [see Dosage and Administration (2.1)].","First-Line Maintenance Treatment of BRCA-mutated Advanced Ovarian Cancer  SOLO-1  The safety of Lynparza for the maintenance treatment of patients with BRCA-mutated advanced ovarian cancer following first-line treatment with platinum-based chemotherapy was investigated in SOLO-1, a placebo-controlled, double-blind study in which 390 patients received either Lynparza 300 mg BID (n=260) or placebo tablets (n=130) until disease progression or unacceptable toxicity. The median duration of study treatment was 25 months for patients who received Lynparza and 14 months for patients who received placebo. (–) Maintenance Treatment of Recurrent Ovarian Cancer  SOLO-2  The safety of Lynparza for the maintenance treatment of patients with platinum sensitive gBRCAm ovarian cancer was investigated in SOLO-2. This study was a placebo-controlled, double-blind study in which 294 patients received either Lynparza 300 mg (2 x 150 mg tablets) twice daily (n=195) or placebo tablets twice daily (n=99) until disease progression or unacceptable toxicity. (–) Advanced Germline BRCA-mutated Ovarian Cancer After 3 or More Lines of Chemotherapy  Pooled data  The safety of Lynparza was investigated in 223 patients (pooled from 6 studies) with gBRCAm advanced ovarian cancer who had received 3 or more prior lines of chemotherapy [see Clinical Studies (14.4)]. Patients received Lynparza capsules 400 mg orally twice daily until disease progression or unacceptable tolerability. The median exposure to Lynparza in these patients was 5.2 months. (–) Germline BRCA-mutated HER2-negative Metastatic Breast Cancer  OlympiAD  The safety of Lynparza was evaluated in gBRCAm patients with HER2-negative metastatic breast cancer who had previously received up to two lines of chemotherapy for the treatment of metastatic disease in OlympiAD [see Clinical Studies (14.5)]. (–) First-line Maintenance Treatment of Germline BRCA-mutated Metastatic Pancreatic Adenocarcinoma  POLO  The safety of Lynparza as maintenance treatment of germline BRCA-mutated metastatic pancreatic adenocarcinoma following first-line treatment with platinum-based chemotherapy was evaluated in POLO [see Clinical Studies (14.6)]. (–)",Olaparib 
43,NDA208558,208558,Olaparib (2),Oncology,ERBB2 (HER2),"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 6 ADVERSE REACTIONS, 14 CLINICAL STUDIES",12/07//2020,"1.5 Germline BRCA-mutated HER2-negative Metastatic Breast Cancer  Lynparza is indicated for the treatment of adult patients with deleterious or suspected deleterious gBRCAm, HER2-negative metastatic breast cancer, who have been treated with chemotherapy in the neoadjuvant, adjuvant, or metastatic setting. Patients with hormone receptor (HR)-positive breast cancer should have been treated with a prior endocrine therapy or be considered inappropriate for endocrine therapy. Select patients for therapy based on an FDA-approved companion diagnostic for Lynparza [see Dosage and Administration (2.1)].",Treatment of gBRCAm HER2-negative Metastatic Breast Cancer  OlympiAD The safety of Lynparza tablets as monotherapy was also evaluated in gBRCAm patients with HER2- negative metastatic breast cancer who had previously received up to two lines of chemotherapy for the treatment of metastatic disease in OlympiAD. (–),Olaparib 
44,NDA208558,208558,Olaparib (3),Oncology,"ESR, PGR (Hormone Receptor)","1 INDICATIONS AND USAGE, 14 CLINICAL STUDIES",12/07//2020,"1.5 Germline BRCA-mutated HER2-negative Metastatic Breast Cancer  Lynparza is indicated for the treatment of adult patients with deleterious or suspected deleterious gBRCAm, HER2-negative metastatic breast cancer, who have been treated with chemotherapy in the neoadjuvant, adjuvant, or metastatic setting. Patients with hormone receptor (HR)-positive breast cancer should have been treated with a prior endocrine therapy or be considered inappropriate for endocrine therapy. Select patients for therapy based on an FDA-approved companion diagnostic for Lynparza [see Dosage and Administration (2.1)].",,Olaparib 
45,NDA208558,208558,Olaparib (4),Oncology,"BRCA, Genomic Instability (Homologous Recombination Deficiency)","1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 6 ADVERSE REACTIONS, 14 CLINICAL STUDIES",12/07//2020,"1.2 First-line Maintenance Treatment of HRD-positive Advanced Ovarian Cancer in Combination with Bevacizumab  Lynparza is indicated in combination with bevacizumab for the maintenance treatment of adult patients with advanced epithelial ovarian, fallopian tube or primary peritoneal cancer who are in complete or partial response to first-line platinum-based chemotherapy and whose cancer is associated with homologous recombination deficiency (HRD)-positive status defined by either: Ł a deleterious or suspected deleterious BRCA mutation, and/or  Ł genomic instability.  Select patients for therapy based on an FDA-approved companion diagnostic for Lynparza [see Dosage and Administration (2.1)].",6.1 Clinical Trial Experience First-line Maintenance Treatment of HRD-positive Advanced Ovarian Cancer in Combination with Bevacizumab  PAOLA-1  The safety of Lynparza in combination with bevacizumab for the maintenance treatment of patients with advanced ovarian cancer following first-line treatment containing platinum-based chemotherapy and bevacizumab was investigated in PAOLA-1 [see Clinical Studies (14.2)]. (–),Olaparib 
46,NDA208558,208558,Olaparib (5),Oncology,Homologous Recombination Repair,"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 6 ADVERSE REACTIONS, 14 CLINICAL STUDIES",12/07//2020,1.7 HRR Gene-mutated Metastatic Castration-Resistant Prostate Cancer  Lynparza is indicated for the treatment of adult patients with deleterious or suspected deleterious germline or somatic homologous recombination repair (HRR) gene-mutated metastatic castration-resistant prostate cancer (mCRPC) who have progressed following prior treatment with enzalutamide or abiraterone.  Select patients for therapy based on an FDA-approved companion diagnostic for Lynparza [see Dosage and Administration (2.1)].,6.1 Clinical Trial ExperienceHRR Gene-mutated Metastatic Castration-Resistant Prostate Cancer  PROfound  The safety of Lynparza as monotherapy was evaluated in patients with mCRPC and HRR gene mutations who have progressed following prior treatment with enzalutamide or abiraterone in PROfound [see Clinical Studies (14.7)].,Olaparib (5)
47,BLA125554,125554,Nivolumab (2),Oncology,CD274 (PD-L1),"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 8 USE IN SPECIFIC POPULATIONS, 14 CLINICAL STUDIES",01/22/2021,"1.3 Metastatic Non-Small Cell Lung Cancer Administration, Use in Specific Populations, Clinical Pharmacology, Clinical Studies Ł OPDIVO, in combination with ipilimumab, is indicated for the first-line treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors express PD--approved test [see Dosage and Administration (2.1)], with no EGFR or ALK genomic tumor aberrations.",,Nivolumab 
48,BLA125554,125554,Nivolumab (3),Oncology,"Microsatellite Instability, Mismatch Repair","1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 6 ADVERSE REACTIONS, 8 USE IN SPECIFIC POPULATIONS, 14 CLINICAL STUDIES",01/22/2021,"1.9 Microsatellite Instability-High (MSI-H) or Mismatch Repair Deficient (dMMR) Metastatic Colorectal Cancer OPDIVO, as a single agent or in combination with ipilimumab, is indicated for the treatment of adult and pediatric patients 12 years and older with microsatellite instability-high (MSI-H) or mismatch repair deficient (dMMR) metastatic colorectal cancer (CRC) that has progressed following treatment with a fluoropyrimidine, oxaliplatin, and irinotecan.  This indication is approved under accelerated approval based on overall response rate and duration of response [see Clinical Studies (14.9)]. Continued approval for these indications may be contingent upon verification and description of clinical benefit in confirmatory trials.","MSI-H or dMMR Metastatic Colorectal Cancer The safety of OPDIVO administered as a single agent or in combination with ipilimumab was evaluated in CHECKMATE-142, a multicenter, non-randomized, multiple parallel-cohort, openlabel study. (See Tables 26 and 27) (–)",Nivolumab 
49,BLA125554,125554,Nivolumab (4),Oncology,EGFR,"1 INDICATIONS AND USAGE, 6 ADVERSE REACTIONS, 14 CLINICAL STUDIES",01/22/2021,"1.3 Metastatic Non-Small Cell Lung Cancer  Ł OPDIVO, in combination with ipilimumab, is indicated for the first-line treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors express PD--approved test [see Dosage and Administration (2.1)], with no EGFR or ALK genomic tumor aberrations.  Ł OPDIVO, in combination with ipilimumab and 2 cycles of platinum-doublet chemotherapy, is indicated for the first-line treatment of adult patients with metastatic or recurrent non-small cell lung cancer (NSCLC), with no EGFR or ALK genomic tumor aberrations.  Ł OPDIVO is indicated for the treatment of patients with metastatic NSCLC with progression on or after platinum-based chemotherapy. Patients with EGFR or ALK genomic tumor aberrations should have disease progression on FDA-approved therapy for these aberrations prior to receiving OPDIVO.","Metastatic Non-Small Cell Lung Cancer  First-line Treatment of Metastatic NSCLC: In Combination with Ipilimumab  The safety of OPDIVO in combination with ipilimumab was evaluated in CHECKMATE-227, a randomized, multicenter, multi-cohort, open-label trial in patients with previously untreated metastatic or recurrent NSCLC with no EGFR or ALK genomic tumor aberrations [see Clinical Studies (14.3)]. (–)",Nivolumab 
50,BLA125554,125554,Nivolumab (5),Oncology,ALK,"1 INDICATIONS AND USAGE, 6 ADVERSE REACTIONS, 14 CLINICAL STUDIES",01/22/2021,"1.3 Metastatic Non-Small Cell Lung Cancer  Ł OPDIVO, in combination with ipilimumab, is indicated for the first-line treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors express PD--approved test [see Dosage and Administration (2.1)], with no EGFR or ALK genomic tumor aberrations.  Ł OPDIVO, in combination with ipilimumab and 2 cycles of platinum-doublet chemotherapy, is indicated for the first-line treatment of adult patients with metastatic or recurrent non-small cell lung cancer (NSCLC), with no EGFR or ALK genomic tumor aberrations.  Ł OPDIVO is indicated for the treatment of patients with metastatic NSCLC with progression on or after platinum-based chemotherapy. Patients with EGFR or ALK genomic tumor aberrations should have disease progression on FDA-approved therapy for these aberrations prior to receiving OPDIVO.","Metastatic Non-Small Cell Lung Cancer  First-line Treatment of Metastatic NSCLC: In Combination with Ipilimumab  The safety of OPDIVO in combination with ipilimumab was evaluated in CHECKMATE-227, a randomized, multicenter, multi-cohort, open-label trial in patients with previously untreated metastatic or recurrent NSCLC with no EGFR or ALK genomic tumor aberrations [see Clinical Studies (14.3)]. (–)",Nivolumab (5)
51,BLA125554,125554,Nivolumab (1),Oncology,BRAF,"6 ADVERSE REACTIONS, 14 CLINICAL STUDIES",01/22/2021,,"6.1 Clinical Trials Experience Unresectable or Metastatic Melanoma Previously Treated Metastatic Melanoma (–) In CHECKMATE-037, patients had documented disease progression following treatment with ipilimumab and, if BRAF V600 mutation positive, a BRAF inhibitor. (...)  Previously Untreated Metastatic Melanoma CHECKMATE-066 The safety of OPDIVO was also evaluated in Trial 4, a randomized, double-blind, active-controlled trial in which 411 previously untreated patients with BRAF V600 wild-type unresectable or metastatic melanoma received OPDIVO 3 mg/kg every 2 weeks (n=206) or dacarbazine 1000 mg/m2 every 3 weeks (n=205) [see Clinical Studies (14.1)]. The median duration of exposure was 6.5 months (range: 1 day to 16.6 months) in OPDIVO-treated patients. (–)",Nivolumab 
52,NDA211288,211288,Dacomitinib,Oncology,EGFR,"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 6 ADVERSE REACTIONS, 8 USE IN SPECIFIC POPULATIONS, 14 CLINICAL STUDIES",09/27/2018,VIZIMPRO is indicated for the first-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) with epidermal growth factor receptor (EGFR) exon 19 deletion or exon 21 L858R substitution mutations as detected by an FDA-approved test [see Dosage and Administration (2.1)].,"6.1 Clinical Trials Experience (–) The data in the Warnings and Precautions section reflect exposure to VIZIMPRO in 394 patients with first-line or previously treated NSCLC with EGFR exon 19 deletion or exon 21 L858R substitution mutations who received VIZIMPRO at the recommended dose of 45 mg once daily in 4 randomized, active-controlled trial  [ARCHER 1050 (N=227), Study A7471009 (N=38), Study A7471011 (N=83), and Study A7471028 (N=16)]and one single-arm trial [Study A7471017 (N=30)]. The median duration of exposure to VIZIMPRO was 10.8 months (range 0.07-68) [see Warnings and Precautions (5)]. The data described below reflect exposure to VIZIMPRO in 227 patients with EGFR mutation-positive, metastatic NSCLC enrolled in a randomized, active-controlled trial (ARCHER 1050); 224 patients received gefitinib 250 mg orally once daily in the active control arm [see Clinical Studies (14)].",Dacomitinib
53,NDA206995,206995,Gefitinib (1),Oncology,EGFR,"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 14 CLINICAL STUDIES",08/22/2018,IRESSA is indicated for the first-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations as detected by an FDA-approved test [see Clinical Studies (14)]. Limitation of Use: Safety and efficacy of IRESSA have not been established in patients with metastatic NSCLC whose tumors have EGFR mutations other than exon 19 deletions or exon 21 (L858R) substitution mutations [see Clinical Studies (14)].,,Gefitinib 
54,NDA201292,201292,Afatinib,Oncology,EGFR,"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 6 ADVERSE REACTIONS, 14 CLINICAL STUDIES",10/11/2019,"1.1 EGFR Mutation-Positive, Metastatic Non-Small Cell Lung Cancer GILOTRIF is indicated for the first-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have non-resistant epidermal growth factor receptor (EGFR) mutations as detected by an FDA-approved test [see Clinical Pharmacology (12.1) and Clinical Studies (14.1)].  Limitation of Use: The safety and efficacy of GILOTRIF have not been established in patients whose tumors have resistant EGFR mutations [see Clinical Studies (14.1)].","6.1 Clinical Trials Experience The data described below reflect exposure to GILOTRIF as a single agent in LUX-Lung 3, a randomized, active-controlled trial conducted in patients with EGFR mutation-positive, metastatic NSCLC, and in LUX-Lung 8, a randomized, active controlled trial in patients with metastatic squamous NSCLC progressing after platinum-based chemotherapy.(–)  EGFR Mutation-Positive, Metastatic NSCLC(–) The data in Tables 1 and 2 below reflect the exposure of 229 EGFR-tyrosine kinase inhibitor-naïve, GILOTRIF-treated patients with EGFR mutation-positive, metastatic, non-squamous NSCLC enrolled in a randomized, multicenter, open-label trial (LUX-Lung 3). (–)",Afatinib
55,BLA761034,761034,Atezolizumab (1),Oncology,CD274 (PD-L1),"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 5 WARNINGS AND PRECAUTIONS, 6 ADVERSE REACTIONS, 12 CLINICAL PHARMACOLOGY, 14 CLINICAL STUDIES",12/28//2020,"1.1 Urothelial Carcinoma  TECENTRIQ (atezolizumab) is indicated for the treatment of patients with locally advanced or metastatic urothelial carcinoma who:  Ł are not eligible for cisplatin-containing chemotherapy and whose tumors express PD-L1 (PD7 L1 stained tumor-the tumor area), as determined by an FDA-approved test [see Dosage and Administration (2.1)], or  Ł are not eligible for any platinum-containing chemotherapy regardless of PD-L1 status, or  Ł have disease progression during or following any platinum-containing chemotherapy, or within 12 months of neoadjuvant or adjuvant chemotherapy. 1.2 Non-Small Cell Lung Cancer Ł TECENTRIQ, as a single agent, is indicated for the first-line treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have high PD-L1 expression (PD--L1 stained tumor-infiltrating immune c 1.3 Locally Advanced or Metastatic Triple-Negative Breast Cancer  TECENTRIQ, in combination with paclitaxel protein-bound, is indicated for the treatment of adult patients with unresectable locally advanced or metastatic triple-negative breast cancer (TNBC) whose tumors express PD-L1 (PD-L1 stained tumor-the tumor area), as determined by an FDA-approved test [see Dosage and Administration (2.1)].  This indication is approved under accelerated approval based on progression free survival [see Clinical Studies (14.3)]. Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial(s).","6.1 Clinical Trials Experience Non-small Cell Lung Cancer (NSCLC)  IMpower110  The safety of TECENTRIQ was evaluated in IMpower110, a multicenter, international, randomized, open-label study in 549 chemotherapy-naïve patients with stage IV NSCLC, including those with EGFR or ALK genomic tumor aberrations. Patients received TECENTRIQ 1200 mg every 3 weeks (n=286) or platinum-based chemotherapy consisting of carboplatin or cisplatin with either pemetrexed or gemcitabine (n=263) until disease progression or unacceptable toxicity [see Clinical Studies (14.2)]. IMpower110 enrolled patients whose tumors express PD-L1 (PD--L1 stained tumor-infiltrating was 5.3 months (0 to 33 months). (–) Previously Treated Metastatic NSCLC  (–) The safety of TECENTRIQ was evaluated in OAK, a multicenter, international, randomized, open-label trial in patients with metastatic NSCLC who progressed during or following a platinum-containing regimen, regardless of PD-L1 expression [see Clinical Studies (14.2)]. (–) 6.2 Immunogenicity (–) Among 434 patients with TNBC in IMpassion130, 13% tested positive for treatment-emergent ADA at one or more post-dose time points. Among 178 patients in PD-L1 positive subgroup with TNBC in IMpassion130, 12% tested positive for treatment-emergent ADA at one or more post-dose time points. Patients who tested positive for treatment-emergent ADA had decreased systemic atezolizumab exposure [see Clinical Pharmacology (12.3)]. There are insufficient numbers of patients in the PD-L1 positive subgroup with ADA to determine whether ADA alters the efficacy of atezolizumab. The presence of ADA did not have a clinically significant effect on the incidence or severity of adverse reactions.",Atezolizumab 
56,BLA761034,761034,Atezolizumab (3),Oncology,EGFR,"1 INDICATIONS AND USAGE, 6 ADVERSE REACTIONS, 14 CLINICAL STUDIES",12/28//2020,"1.2 Non-Small Cell Lung Cancer Ł TECENTRIQ, in combination with bevacizumab, paclitaxel, and carboplatin, is indicated for the first-line treatment of adult patients with metastatic non-squamous non-small cell lung cancer (NSq NSCLC) with no EGFR or ALK genomic tumor aberrations. Ł TECENTRIQ, in combination with paclitaxel protein-bound and carboplatin, is indicated for the first-line treatment of adult patients with metastatic non-squamous NSCLC with no EGFR or ALK genomic tumor aberrations. Ł TECENTRIQ, as a single-agent, is indicated for the treatment of adult patients with metastatic NSCLC who have disease progression during or following platinum-containing chemotherapy. Patients with EGFR or ALK genomic tumor aberrations should have disease progression on FDA-approved therapy for NSCLC harboring these aberrations prior to receiving TECENTRIQ.","6.1 Clinical Trials Experience Non-small Cell Lung Cancer (NSCLC)  IMpower110  The safety of TECENTRIQ was evaluated in IMpower110, a multicenter, international, randomized, open-label study in 549 chemotherapy-naïve patients with stage IV NSCLC, including those with EGFR or ALK genomic tumor aberrations.",Atezolizumab 
57,BLA761034,761034,Atezolizumab (4),Oncology,ALK,"1 INDICATIONS AND USAGE, 6 ADVERSE REACTIONS, 14 CLINICAL STUDIES",12/28//2020,"1.2 Non-Small Cell Lung Cancer Ł TECENTRIQ, in combination with bevacizumab, paclitaxel, and carboplatin, is indicated for the first-line treatment of adult patients with metastatic non-squamous non-small cell lung cancer (NSq NSCLC) with no EGFR or ALK genomic tumor aberrations. Ł TECENTRIQ, in combination with paclitaxel protein-bound and carboplatin, is indicated for the first-line treatment of adult patients with metastatic non-squamous NSCLC with no EGFR or ALK genomic tumor aberrations. Ł TECENTRIQ, as a single-agent, is indicated for the treatment of adult patients with metastatic NSCLC who have disease progression during or following platinum-containing chemotherapy. Patients with EGFR or ALK genomic tumor aberrations should have disease progression on FDA-approved therapy for NSCLC harboring these aberrations prior to receiving TECENTRIQ.","6.1 Clinical Trials Experience Non-small Cell Lung Cancer (NSCLC)  IMpower110  The safety of TECENTRIQ was evaluated in IMpower110, a multicenter, international, randomized, open-label study in 549 chemotherapy-naïve patients with stage IV NSCLC, including those with EGFR or ALK genomic tumor aberrations.",Atezolizumab 
58,BLA761034,761034,Atezolizumab (5),Oncology,BRAF,"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 6 ADVERSE REACTIONS, 14 CLINICAL STUDIES",12/28//2020,"1.6 Melanoma  TECENTRIQ, in combination with cobimetinib and vemurafenib, is indicated for the treatment of patients with BRAF V600 mutation-positive unresectable or metastatic melanoma [see Dosage and Administration (2.1)].","6.1 Clinical Trials Experience Melanoma  The safety of TECENTRIQ, administered with cobimetinib and vemurafenib was evaluated in IMspire150, a double-blind, randomized (1:1), placebo-controlled study conducted in patients with previously untreated BRAF V600 mutation-positive metastatic or unresectable melanoma [see Clinical Studies (14.5)]. Patients received TECENTRIQ with cobimetinib and vemurafenib (N=230) or placebo with cobimetinib and vemurafenib (n=281). (–)",Atezolizumab (5)
59,BLA125147,125147,Panitumumab (2),Oncology,RAS,"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 5 WARNINGS AND PRECAUTIONS, 6 ADVERSE REACTIONS, 14 CLINICAL STUDIES",06/29/2017,"1.1 Metastatic Colorectal Cancer Vectibix is indicated for the treatment of patients with wild-type RAS (defined as wild-type in both KRAS and NRAS as determined by an FDA-approved test for this use) metastatic colorectal cancer (mCRC) [see Dosage and Administration (2.1)]:  As first-line therapy in combination with FOLFOX [see Clinical Studies (14.2)].   As monotherapy following disease progression after prior treatment with fluoropyrimidine-, oxaliplatin-, and irinotecan-containing chemotherapy [see Clinical Studies (14.1)]. Limitation of Use: Vectibix is not indicated for the treatment of patients with RAS-mutant mCRC or for whom RAS mutation status is unknown [see Dosage and Administration (2.1), Warnings and Precautions (5.2), and Clinical Pharmacology (12.1)].","The following adverse reactions are discussed in greater detail in other sections of the label:  (–) Increased Tumor Progression, Increased Mortality, or Lack of Benefit in RAS-Mutant mCRC [see Indications and Usage (1.1) and Warnings and Precautions (5.2)] (–) 6.1 Clinical Trials Experience (–) Safety data are presented from two clinical trials in which patients received Vectibix: Study 20020408, an open-label, multinational, randomized, controlled, monotherapy clinical trial (N = 463) evaluating Vectibix with best supportive care (BSC) versus BSC alone in patients with EGFR-expressing mCRC and Study 20050203, a randomized, controlled trial (N = 1183) in patients with mCRC that evaluated Vectibix in combination with FOLFOX chemotherapy versus FOLFOX chemotherapy alone. Safety data for Study 20050203 are limited to 656 patients with wild-type KRAS mCRC. The safety profile of Vectibix in patients with wild-type RAS mCRC is similar with that seen in patients with wild-type KRAS mCRC. (–)  Vectibix in Combination with FOLFOX Chemotherapy -type KRAS mCRC receiving Vectibix (6 mg/kg every 2 weeks) and FOLFOX therapy (N = 322) in Study 20050203 were diarrhea, stomatitis, mucosal inflammation, asthenia, paronychia, anorexia, hypomagnesemia, hypokalemia, rash, acneiform dermatitis, pruritus, and dry skin (Table 2). Seri-treated patients withn patients with wild-type KRAS mCRC receiving Vectibix were rash, paresthesia, fatigue, diarrhea, acneiform dermatitis, and hypersensitivity. One grade 5 adverse reaction, hypokalemia, occurred in a patient who received Vectibix. (See Table 2) (–)",Panitumumab 
60,BLA125147,125147,Panitumumab (1),Oncology,EGFR,"6 ADVERSE REACTIONS, 12 CLINICAL PHARMACOLOGY, 14 CLINICAL STUDIES",06/29/2017,,"6.1 Clinical Trials Experience (–) Safety data are presented from two clinical trials in which patients received Vectibix: Study 20020408, an open-label, multinational, randomized, controlled, monotherapy clinical trial (N = 463) evaluating Vectibix with best supportive care (BSC) versus BSC alone in patients with EGFR-expressing mCRC and Study20050203, a randomized, controlled trial (N = 1183) in patients with mCRC that evaluated Vectibix in combination with FOLFOX chemotherapy versus FOLFOX chemotherapy alone. Safety data for Study 20050203 are limited to 656 patients with wild-type KRAS mCRC. The safety profile of Vectibix in patients with wild-type RAS mCRC is similar with that seen in patients with wild-type KRAS mCRC.",Panitumumab 
61,NDA206192,206192,Cobimetinib,Oncology,BRAF,"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 6 ADVERSE REACTIONS, 14 CLINICAL STUDIES",01/26/2018,"COTELLIC® is indicated for the treatment of patients with unresectable or metastatic melanoma with a BRAF V600E or V600K mutation, in combination with vemurafenib.","6.1 Clinical Trials Experience (–) The safety of COTELLIC was evaluated in Trial 1, a randomized (1:1), double blind, active-controlled trial in previously untreated patients with BRAF V600 mutation-positive, unresectable or metastatic melanoma [see Clinical Studies (14)]. (–)",Cobimetinib
62,NDA208434,208434,Alectinib,Oncology,ALK,"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 6 ADVERSE REACTIONS, 12 CLINICAL PHARMACOLOGY, 14 CLINICAL STUDIES",06/05/2018,ALECENSA is indicated for the treatment of patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC) as detected by an FDA-approved test.,"6.1 Clinical Trials Experience Because clinical trials are conducted under widely varying conditions, adverse reaction rates observed in the clinical trials of a drug cannot be directly compared to rates in the clinical trials of another drug and may not reflect the rates observed in practice. Previously Untreated ALK-Positive Metastatic NSCLC The safety of ALECENSA was evaluated in 152 patients with ALK-positive NSCLC in the ALEX study. The median duration of exposure to ALECENSA was 17.9 months. (–)  ALK-Positive Metastatic NSCLC Previously Treated with Crizotinib The safety of ALECENSA was evaluated in 253 patients with ALK-positive non-small cell lung cancer (NSCLC) treated with ALECENSA in two clinical trials, Studies NP28761 and NP28673. (–)",Alectinib
63,NDA210861,210861,Larotrectinib,Oncology,NTRK,"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 6 ADVERSE REACTIONS, 14 CLINICAL STUDIES",11/26/2018,"VITRAKVI is indicated for the treatment of adult and pediatric patients with solid tumors that: Ł have a neurotrophic receptor tyrosine kinase (NTRK) gene fusion without a known acquired resistance mutation, (–)Administration, Adverse Reactions, Clinical Studies",6.1 Clinical Trial Experience (–) NTRK gene fusions were present in 60% of VITRAKVI-treated patients. Most adults (80%) received VITRAKVI 100 mg orally twice daily and 68% of pediatrics (18 years or younger) received VITRAKVI 100 mg/m2 twice daily up to a maximum dose of 100 mg twice daily. (–),Larotrectinib
